nama,price,desc,shopee_url,image_url,category,source
[PART 4] Gantungan kunci | Gantungan tas | Keychain Macrame Aesthetic,Rp3.500,[PART 4] Gantungan kunci | Gantungan tas | Keychain Macrame Aesthetic,https://shopee.co.id/universal-link/product/1441472371/29524934069?gads_t_sig=VTJGc2RHVmtYMTlxTFVSVVRrdENkVEdTU3BlMW9zMXB6bGYrZ0J1VEdQdnZ1ZmwzN2syVXZXWVpBZkJDYWV0MUpHMFBaUWNOaHQ2cWU0M2M2OFEreFRERlFFUDdWZStRT0FUNnl3VnNuYWVSYVRxdUs5U1BlVktZVDVReXVVN2U0VjNFWGxLZm10Q2g4T2l4WUNNcG85QzZxNnNYdmFwMU5pUGl5UERzQUU0PQ&utm_campaign=-&utm_content=----&utm_medium=affiliates&utm_source=an_11344941723,https://cf.shopee.co.id/file/id-11134207-7rasc-m5r4wthgsh5f29,fashion,shopee_affiliate_v2
Gantungan tas W4kuku yang kuping panjang,Rp68.000,Gantungan tas W4kuku yang kuping panjang,https://shopee.co.id/universal-link/product/610433919/24497986268?gads_t_sig=VTJGc2RHVmtYMTlxTFVSVVRrdENkY0tSanlKZU1BU2Y2RTJzOS9neUtnZTc5MHgvdnE5RlllOE12aFBrbStCU2YvZS80OVZkcm5XNFdQUE9rOExzeVdxQzZPU004RlZQN0RTY2xNcXhoZDAwamlIZ1pwQ0JYQVNVSmdlZHNOSnFqejcwMzFZZk5OMloxQzlZMGdBRW1ZT2lybFBESVJhakM5RnYyY2ZrdXJ3PQ&utm_campaign=-&utm_content=----&utm_medium=affiliates&utm_source=an_11344941723,https://cf.shopee.co.id/file/id-11134207-8224t-ml1rlezenfgg02,fashion,shopee_affiliate_v2
[PART 2] Gantungan Kunci Macrame | Keychain Macrame | Gantungan Tas | Ganci,Rp5.000,[PART 2] Gantungan Kunci Macrame | Keychain Macrame | Gantungan Tas | Ganci,https://shopee.co.id/universal-link/product/1441472371/26424939049?gads_t_sig=VTJGc2RHVmtYMTlxTFVSVVRrdENkVEdTU3BlMW9zMXB6bGYrZ0J1VEdQdnZ1ZmwzN2syVXZXWVpBZkJDYWV0MWpBVi9TZ3U3N3orWlN6azZSRG5DZXZpTEdaTWNRZW5uQWJSaUZnelJBdEYvU0lmL1RiMlE1VkZBTUYveHo0UWhOYVV2VFpwL1FyY0FZc2h0b3l1emZWbmtLOENwS3JseDZ2Sng4SXMyTm1VPQ&utm_campaign=-&utm_content=----&utm_medium=affiliates&utm_source=an_11344941723,https://cf.shopee.co.id/file/id-11134207-7rasj-m5r4wthgwour32,fashion,shopee_affiliate_v2
NEW!!! GANTUNGAN KUNCI TAS LABUBU LUCU CUTE BOOM LABUBU KEYCHAIN WEARING CLOTHES,Rp30.000,NEW!!! GANTUNGAN KUNCI TAS LABUBU LUCU CUTE BOOM LABUBU KEYCHAIN WEARING CLOTHES,https://shopee.co.id/universal-link/product/60500407/24287440840?gads_t_sig=VTJGc2RHVmtYMTlxTFVSVVRrdENkVEN2VUxrWEZOaDk0d0pqV3V0QjRydlZNTU02Z21XWVNoK3JMaGVoU1pySkpreGYzODNYKzNaSk5xUzlsUzVxMTkxTU9Qb0pRdWNONXc0Rys0SjByRkc5Z1R1TlVqVGhRUTM1dVRVenByeUREZkExQ3F6Ymg5NVlEdGNGUWtCYmxESTZkS0NBQ2dBcW5XOXVUWjFNUnJBPQ&utm_campaign=-&utm_content=----&utm_medium=affiliates&utm_source=an_11344941723,https://cf.shopee.co.id/file/id-11134207-7rasj-m1piiwkhqp9817,fashion,shopee_affiliate_v2
Ganci Macrame | Gantungan Kunci Macrame | Gantungan Tas | Keychain,Rp5.000,Ganci Macrame | Gantungan Kunci Macrame | Gantungan Tas | Keychain,https://shopee.co.id/universal-link/product/1441472371/25190978800?gads_t_sig=VTJGc2RHVmtYMTlxTFVSVVRrdENkVEdTU3BlMW9zMXB6bGYrZ0J1VEdQdnZ1ZmwzN2syVXZXWVpBZkJDYWV0MXoyQy9DV2luUDFBdlc5RWgzcjk3Z3RBVlEzT1FEVEN4UGNieTM5RkRobEpoOHdBV0NXdWc2Um1LbGpPSGs1NCt6Si9lK0Rqb2pYaHhRYzhBUHNIL0dUZFppbCtnZmVnaHQ0Q1BBdFFLaW5FPQ&utm_campaign=-&utm_content=----&utm_medium=affiliates&utm_source=an_11344941723,https://cf.shopee.co.id/file/id-11134207-7rasd-m5r4wthgy3f76a,fashion,shopee_affiliate_v2
Capibara Bag charms Bisa di pencet,Rp37.500,Capibara Bag charms Bisa di pencet,https://shopee.co.id/universal-link/product/229502857/41851555478?gads_t_sig=VTJGc2RHVmtYMTlxTFVSVVRrdENkY0tSanlKZU1BU2Y2RTJzOS9neUtnZXFVWHk2RENCUVFiaDV2Y0NxdURzK3VjaXdRQmRQY1BOcVBnTjRtVzN4Z0x2N0VrQTVpekdmcHlNYUdTYUY1T3hvRUdsSW1wekZqd3Q4OG5FRml5YXZmZWxPU1ZzaktmaEpPNktodGhoeVJ3bU01TGJGWDdGT0FiNXhLNjYxYnBZPQ&utm_campaign=-&utm_content=----&utm_medium=affiliates&utm_source=an_11344941723,https://cf.shopee.co.id/file/id-11134207-7rbk0-m9zp57nccqce31,fashion,shopee_affiliate_v2
CO@CH Bag charm cherry gold gantungan tas keychain Cherry Keychain lucu bag Char,Rp158.984,CO@CH Bag charm cherry gold gantungan tas keychain Cherry Keychain lucu bag Charm Banyak warna,https://shopee.co.id/universal-link/product/1351616890/25939947970?gads_t_sig=VTJGc2RHVmtYMTlxTFVSVVRrdENkVEdTU3BlMW9zMXB6bGYrZ0J1VEdQdjJWOGl4b0pDTGpmTnQyZG5WRXpNem1lekhLdDJlY3V3azNseVpZZFZKMDN5L3ZEQUJiZzhaSnJpdFc2TkI2T2t0M2ZiL0VaaU8xL2xEc2daL2lKaWtWM1dxakRGUVc3eStaNXVnUEc5NWcrUWNBdUJPSFYzczB3V2pSdk96SWdjPQ&utm_campaign=-&utm_content=----&utm_medium=affiliates&utm_source=an_11344941723,https://cf.shopee.co.id/file/sg-11134201-822xv-miazysnyt0xwaf,fashion,shopee_affiliate_v2
Tas Selempang Wanita Sakura Termurah Free Gantungan Berkualiatas,Rp38.999,Tas Selempang Wanita Sakura Termurah Free Gantungan Berkualiatas,https://shopee.co.id/universal-link/product/889498859/44418256079?gads_t_sig=VTJGc2RHVmtYMTlxTFVSVVRrdENkY0tSanlKZU1BU2Y2RTJzOS9neUtnY1E5ZE1JTlN6OTI3elJtanVkdVNxUVVRbk9hQU1qS3FMVHFXOVNtVU1GaXhQbjh0VU1xazVHMUxFcHkvdHdjakR0MnlQeUFEb3VxWkh5bHBqWlp6bFlNTk9XcU1GQkwrOE9vNjdZbUdTeXBlalVEZXYxV0F3ZE9uYVdCRGpZUXo4PQ&utm_campaign=-&utm_content=----&utm_medium=affiliates&utm_source=an_11344941723,https://cf.shopee.co.id/file/id-11134207-81ztl-mefubmh3wg0430,fashion,shopee_affiliate_v2
[PART 1] Gantungan Kunci | Keychain | Gantungan Tas,Rp3.500,[PART 1] Gantungan Kunci | Keychain | Gantungan Tas,https://shopee.co.id/universal-link/product/1441472371/27324943427?gads_t_sig=VTJGc2RHVmtYMTlxTFVSVVRrdENkVEdTU3BlMW9zMXB6bGYrZ0J1VEdQdnZ1ZmwzN2syVXZXWVpBZkJDYWV0MUJQWkVZRUx1TnJvY3NiNEVQZU15ajhhRWYzelVwWHdyZmVrVk1UaFkxY2sramdyNFZlVGd4cm5Od0d2TXQ4UHhxZXVoWjdyVXc4aXVhVXBSeWJEbXRRanByQkQzRjNrbHRVVlo1NDFqT213PQ&utm_campaign=-&utm_content=----&utm_medium=affiliates&utm_source=an_11344941723,https://cf.shopee.co.id/file/id-11134207-7rasb-m5r4wthgtvpv69,fashion,shopee_affiliate_v2
Gantungan Tas Model H.e.r.m.e.s. Bag charms,Rp67.500,Gantungan Tas Model H.e.r.m.e.s. Bag charms,https://shopee.co.id/universal-link/product/229502857/41701544490?gads_t_sig=VTJGc2RHVmtYMTlxTFVSVVRrdENkY0tSanlKZU1BU2Y2RTJzOS9neUtnZXFVWHk2RENCUVFiaDV2Y0NxdURzK05NSllBS3gvbFJkekRWZzNkaHpNU20yTlFwRjV0WGRYSkt4NCtNSnV3ems1UmY3a0hnN0FIZFlMcDIxUXlBRUF6QVJURnN0UysvOWltUnU4aDVjaUJkNXFKZFhwVWowQUwxUzd0ODdEKzJVPQ&utm_campaign=-&utm_content=----&utm_medium=affiliates&utm_source=an_11344941723,https://cf.shopee.co.id/file/id-11134207-7rbk2-m9zp57nc742md6,fashion,shopee_affiliate_v2
